fragment,atom_1,element_1,role_1,atom_2,element_2,role_2,distance_angstrom,vdw_sum_angstrom,distance_over_vdw_sum,classification,involves_artificial_cap,involves_existing_hydrogen,requires_geometry_repair
QM_F06_UPPER_CAPPED,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,2.3944076725,2.4000000000,0.9976698636,ACCEPTABLE,True,True,False
QM_F06_UPPER_CAPPED,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,1.3890460006,2.4000000000,0.5787691669,SEVERE_CLASH,True,True,True
QM_F06_UPPER_CAPPED,H4:UPPER:0114:0,H,ORIGINAL_FRAGMENT_ATOM,P:1641,N,ORIGINAL_FRAGMENT_ATOM,2.5203199815,2.7500000000,0.9164799933,ACCEPTABLE,False,False,False
QM_F06_UPPER_CAPPED,H4:UPPER:0114:0,H,ORIGINAL_FRAGMENT_ATOM,S:1710,B,ORIGINAL_FRAGMENT_ATOM,2.1156515808,3.1200000000,0.6780934554,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,S:1710,B,ORIGINAL_FRAGMENT_ATOM,3.0535153395,3.1200000000,0.9786908139,ACCEPTABLE,False,False,False
QM_F06_UPPER_CAPPED,HCAP:UPPER:01,H,ARTIFICIAL_BOUNDARY_CAP,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,1.7485063373,2.4000000000,0.7285443072,STRONG_COMPRESSION,True,False,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:01,H,ARTIFICIAL_BOUNDARY_CAP,P:1643,N,ORIGINAL_FRAGMENT_ATOM,2.7005369836,2.7500000000,0.9820134486,ACCEPTABLE,True,False,False
QM_F06_UPPER_CAPPED,HCAP:UPPER:01,H,ARTIFICIAL_BOUNDARY_CAP,S:1710,B,ORIGINAL_FRAGMENT_ATOM,2.1441246662,3.1200000000,0.6872194443,SEVERE_CLASH,True,False,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:02,H,ARTIFICIAL_BOUNDARY_CAP,HCAP:UPPER:03,H,ARTIFICIAL_BOUNDARY_CAP,1.7517015181,2.4000000000,0.7298756325,STRONG_COMPRESSION,True,False,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:02,H,ARTIFICIAL_BOUNDARY_CAP,P:1641,N,ORIGINAL_FRAGMENT_ATOM,2.7005369836,2.7500000000,0.9820134486,ACCEPTABLE,True,False,False
QM_F06_UPPER_CAPPED,HCAP:UPPER:02,H,ARTIFICIAL_BOUNDARY_CAP,S:1710,B,ORIGINAL_FRAGMENT_ATOM,2.1441246662,3.1200000000,0.6872194443,SEVERE_CLASH,True,False,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:03,H,ARTIFICIAL_BOUNDARY_CAP,S:1710,B,ORIGINAL_FRAGMENT_ATOM,2.1252912967,3.1200000000,0.6811831079,SEVERE_CLASH,True,False,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:04,H,ARTIFICIAL_BOUNDARY_CAP,S:1710,B,ORIGINAL_FRAGMENT_ATOM,2.1282737630,3.1200000000,0.6821390266,SEVERE_CLASH,True,False,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,HCAP:UPPER:06,H,ARTIFICIAL_BOUNDARY_CAP,2.0611404610,2.4000000000,0.8588085254,CLOSE_CONTACT,True,False,False
QM_F06_UPPER_CAPPED,P:1641,N,ORIGINAL_FRAGMENT_ATOM,P:1643,N,ORIGINAL_FRAGMENT_ATOM,2.5045558488,3.1000000000,0.8079212416,CLOSE_CONTACT,False,False,False
