node_id,element,node_type,end,region,total_degree,B_neighbors,N_neighbors,H_neighbors,environment_signature
A:LOWER:1:5,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:LOWER:1:7,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:1:9,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,3,0,3,0,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=N:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1"
A:LOWER:2:-4,N,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:LOWER:2:-6,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:2:-8,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:LOWER:2:4,N,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:LOWER:2:6,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:2:8,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:LOWER:4:-4,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:2,ANNULUS_INTERIOR:1"
A:LOWER:4:-6,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:4:-8,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,3,0,3,0,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=N:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:2"
A:LOWER:4:4,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:2,ANNULUS_INTERIOR:1"
A:LOWER:4:6,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:4:8,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,3,0,3,0,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=N:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:2"
A:LOWER:5:-3,N,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:LOWER:5:-5,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:5:-7,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:LOWER:5:3,N,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:LOWER:5:5,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:5:7,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:LOWER:7:-1,B,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:LOWER:7:-3,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:LOWER:7:-5,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:7:-7,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,3,0,3,0,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=N:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:2"
A:LOWER:7:1,B,ANNULUS_INNER_BOUNDARY,LOWER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:LOWER:7:3,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:LOWER:7:5,B,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:7:7,B,ANNULUS_OUTER_BOUNDARY,LOWER,ANNULUS_EDGE,3,0,3,0,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=N:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:2"
A:LOWER:8:-2,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:LOWER:8:-4,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:8:-6,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:LOWER:8:0,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INNER_BOUNDARY:2,ANNULUS_INTERIOR:1"
A:LOWER:8:2,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:LOWER:8:4,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:LOWER:8:6,N,ANNULUS_INTERIOR,LOWER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-10:-2,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-10:-4,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-10:-6,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-10:0,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-10:2,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-10:4,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-10:6,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-11:-1,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-11:-3,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-11:-5,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-11:1,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-11:3,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-11:5,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-13:-1,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-13:-3,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-13:-5,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-13:1,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-13:3,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-13:5,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-14:-2,N,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,3,0,0,"center=N|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:2"
A:UPPER:-14:-4,N,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,3,0,0,"center=N|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1"
A:UPPER:-14:0,N,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,3,0,0,"center=N|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:2"
A:UPPER:-14:2,N,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,3,0,0,"center=N|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:2"
A:UPPER:-14:4,N,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,3,0,0,"center=N|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:3|neighbor_types=ALTERNATING_BN_FOUR_ATOM_BRIDGE:1,ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1"
A:UPPER:-1:-5,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:UPPER:-1:-7,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-1:-9,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-1:5,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:UPPER:-1:7,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-1:9,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:1,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-2:-4,N,ANNULUS_INNER_BOUNDARY,UPPER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:UPPER:-2:-6,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-2:-8,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-2:4,N,ANNULUS_INNER_BOUNDARY,UPPER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:UPPER:-2:6,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-2:8,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-4:-4,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:2,ANNULUS_INTERIOR:1"
A:UPPER:-4:-6,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-4:-8,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-4:4,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:2,ANNULUS_INTERIOR:1"
A:UPPER:-4:6,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-4:8,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-5:-3,N,ANNULUS_INNER_BOUNDARY,UPPER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:UPPER:-5:-5,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-5:-7,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-5:3,N,ANNULUS_INNER_BOUNDARY,UPPER,ANNULUS_EDGE,3,2,0,1,"center=N|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=B:2,H:1|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:UPPER:-5:5,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-5:7,N,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,3,0,0,"center=N|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=B:3|neighbor_types=ANNULUS_INTERIOR:1,ANNULUS_OUTER_BOUNDARY:2"
A:UPPER:-7:-1,B,ANNULUS_INNER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:UPPER:-7:-3,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:UPPER:-7:-5,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
A:UPPER:-7:-7,B,ANNULUS_OUTER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_OUTER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INTERIOR:2,ANNULUS_OUTER_PASSIVANT_H:1"
A:UPPER:-7:1,B,ANNULUS_INNER_BOUNDARY,UPPER,ANNULUS_EDGE,3,0,2,1,"center=B|type=ANNULUS_INNER_BOUNDARY|region=ANNULUS_EDGE|degree=3|neighbor_elements=H:1,N:2|neighbor_types=ANNULUS_INNER_PASSIVANT_H:1,ANNULUS_INTERIOR:2"
A:UPPER:-7:3,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,"center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INNER_BOUNDARY:1,ANNULUS_INTERIOR:2"
A:UPPER:-7:5,B,ANNULUS_INTERIOR,UPPER,ANNULUS_INTERIOR,3,0,3,0,center=B|type=ANNULUS_INTERIOR|region=ANNULUS_INTERIOR|degree=3|neighbor_elements=N:3|neighbor_types=ANNULUS_INTERIOR:3
